,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,company_name,model_name,mileage (kmpl),engine (cc),max_power (bhp)
33,2019,330000,10000,2,0,0,2,4.0,maruti,alto 800 cng lxi optional,33.44,796.0,40.3
34,2019,366000,15000,0,0,0,1,5.0,maruti,alto k10 vxi airbag,23.95,998.0,67.1
35,2019,1149000,5000,0,0,0,1,5.0,hyundai,verna vtvt 1.6 sx option,17.0,1591.0,121.3
36,2016,150000,42000,0,0,0,1,5.0,datsun,go d,20.63,1198.0,67.0
37,2011,425000,60000,1,0,0,2,7.0,tata,safari dicor 2.2 lx 4x2,13.93,2179.0,138.03
38,2012,150000,76000,0,0,0,1,4.0,maruti,800 std,16.1,796.0,37.0
39,2019,2100000,5000,0,0,1,1,5.0,jeep,compass 1.4 limited plus bsiv,16.0,1368.0,160.77
40,2018,925000,28900,0,1,0,1,5.0,honda,city i vtec vx,17.8,1497.0,117.3
41,2013,425000,86300,0,1,0,1,5.0,honda,city v mt,16.8,1497.0,116.3
42,2018,675000,23300,0,1,1,1,5.0,maruti,swift dzire vxi at,18.5,1197.0,83.14
43,2018,819999,32600,1,1,0,1,5.0,maruti,vitara brezza vdi,24.3,1248.0,88.5
44,2018,390000,10300,0,1,0,1,5.0,maruti,alto k10 vxi,23.95,998.0,67.05
45,2014,1500000,77000,1,1,0,1,7.0,toyota,fortuner 4x4 mt,12.55,2982.0,168.5
46,2013,700000,99000,1,1,0,1,7.0,toyota,innova 2.5 g (diesel) 7 seater bs iv,12.99,2494.0,100.0
47,2014,1450000,27800,1,1,1,2,5.0,mercedes-benz,b class b180,14.8,2143.0,120.7
48,2015,425000,49800,1,1,0,1,5.0,honda,amaze s diesel,24.7,1498.0,98.63
49,2013,1090000,151000,1,1,0,1,7.0,mitsubishi,pajero sport 4x4,13.5,2477.0,175.56
50,2015,600000,54700,1,1,0,1,5.0,honda,city i dtec s,26.0,1498.0,98.6
51,2018,850000,64000,0,1,0,1,5.0,maruti,ciaz zeta,20.65,1462.0,103.25
52,2015,525000,63000,1,1,0,1,5.0,honda,jazz vx diesel,27.3,1498.0,98.6
53,2016,1650000,127700,1,1,1,2,7.0,toyota,innova crysta 2.8 zx at bsiv,11.36,2755.0,171.5
54,2016,950000,99000,1,1,0,1,7.0,toyota,innova 2.5 g (diesel) 7 seater,12.99,2494.0,100.6
55,2013,1750000,33900,1,1,1,2,5.0,audi,a6 2.0 tdi technology,17.68,1968.0,174.33
56,2018,1590000,25000,0,1,1,1,5.0,toyota,corolla altis 1.8 vl cvt,14.28,1798.0,138.03
57,2013,1689999,50000,1,1,1,1,5.0,audi,a6 2.0 tdi  design edition,18.53,1968.0,187.74
58,2013,1425000,59000,1,1,1,1,5.0,mercedes-benz,new c-class 220 cdi at,14.84,2143.0,170.0
59,2011,265000,120000,1,0,0,1,5.0,tata,manza elan quadrajet bs iv,21.12,1248.0,88.8
60,2011,190000,110000,0,0,0,3,5.0,hyundai,i10 magna,20.36,1197.0,78.9
61,2013,425000,60000,1,0,0,1,5.0,hyundai,i20 asta 1.4 crdi,21.27,1396.0,88.76
62,2015,630000,147000,1,0,0,2,5.0,maruti,swift dzire zdi,26.59,1248.0,74.0
63,2017,600000,25000,0,0,0,3,5.0,ford,figo 1.2p titanium mt,18.16,1196.0,86.8
64,2019,650000,30000,0,0,0,1,5.0,maruti,baleno delta 1.2,21.4,1197.0,83.1
65,2016,540000,40000,1,0,0,1,5.0,volkswagen,ameo 1.5 tdi highline 16 alloy,22.0,1498.0,108.495
66,2015,630000,135000,1,0,0,1,5.0,honda,city i dtec vx,25.1,1498.0,98.6
67,2018,448000,30000,0,0,1,1,5.0,maruti,wagon r amt vxi,20.51,998.0,67.0
68,2017,500000,80000,1,0,0,1,5.0,volkswagen,ameo 1.5 tdi comfortline,21.66,1498.0,108.62
69,2016,745000,70000,1,0,0,1,5.0,maruti,vitara brezza vdi,24.3,1248.0,88.5
70,2019,1025000,9850,1,0,1,1,5.0,maruti,vitara brezza zdi plus amt,24.3,1248.0,88.5
71,2011,235000,60000,0,0,0,2,5.0,hyundai,i10 magna,20.36,1197.0,78.9
72,2016,630000,70000,1,0,0,1,5.0,maruti,swift vdi deca,25.2,1248.0,74.0
73,2015,1700000,78000,1,0,0,2,7.0,toyota,fortuner 4x4 mt,12.55,2982.0,168.5
74,2013,450000,120000,1,0,0,2,5.0,maruti,swift star vdi,22.9,1248.0,74.0
75,2012,450000,120000,0,0,0,2,7.0,maruti,ertiga zxi,16.02,1373.0,93.7
76,2013,450000,170000,1,0,0,1,5.0,volkswagen,vento diesel highline,20.54,1598.0,103.6
77,2016,1200000,140000,1,0,0,1,8.0,toyota,innova 2.5 vx (diesel) 8 seater,12.99,2494.0,100.6
78,2015,610000,90000,1,0,0,1,5.0,ford,ecosport 1.5 tdci titanium plus bsiv,22.77,1498.0,98.59
79,2016,2500000,30000,0,0,1,2,5.0,bmw,x1 sdrive20i xline,15.71,1998.0,189.0
80,2017,484999,10000,0,1,0,1,5.0,maruti,celerio zxi mt bsiv,23.1,998.0,67.04
81,2016,275000,49000,0,1,0,1,5.0,datsun,go a petrol,19.02,1198.0,67.05
82,2016,315000,32000,0,1,0,1,5.0,maruti,alto 800 vxi bsiv,24.7,796.0,47.3
83,2016,275000,38000,0,1,0,1,5.0,maruti,alto 800 lxi bsiv,24.7,796.0,47.3
84,2012,290000,28000,0,1,0,1,5.0,hyundai,i10 era 1.1,19.81,1086.0,68.05
85,2017,280000,32000,0,1,0,1,5.0,maruti,omni 8 seater bsiv,14.0,796.0,35.0
86,2010,225000,44000,3,1,0,1,5.0,maruti,wagon r lxi lpg bsiv,26.2,998.0,58.2
87,2015,455000,42000,0,1,0,1,5.0,volkswagen,polo 1.2 mpi comfortline,16.47,1198.0,74.0
88,2015,351000,45000,0,1,0,2,5.0,hyundai,i10 magna 1.1l,19.81,1086.0,68.05
89,2012,535000,12000,0,1,0,2,5.0,volkswagen,vento petrol highline,15.04,1598.0,103.6
90,2009,175000,55500,0,1,0,1,5.0,maruti,zen estilo lxi bsiii,18.2,998.0,67.1
91,2013,525000,61500,0,1,0,1,5.0,hyundai,i20 asta optional with sunroof 1.2,18.5,1197.0,82.85
92,2016,600000,150000,1,0,0,1,5.0,maruti,swift dzire ldi,26.59,1248.0,74.0
93,2016,565000,72000,0,1,1,1,5.0,hyundai,xcent 1.2 kappa sx option at,19.1,1197.0,82.0
94,2008,120000,68000,0,1,0,3,5.0,maruti,alto lx bsiii,19.7,796.0,46.3
95,2017,725000,110000,1,0,0,1,5.0,hyundai,i20 1.4 asta option,22.54,1396.0,88.73
96,2009,185000,77000,0,1,0,2,5.0,maruti,wagon r vxi,21.79,998.0,67.05
97,2010,200000,100000,1,0,0,2,5.0,tata,manza aura (abs) quadrajet,18.8,1248.0,90.0
98,2019,615000,10000,0,0,0,1,5.0,maruti,swift vxi,21.21,1197.0,81.8
99,2016,270000,100000,0,0,0,3,7.0,maruti,eeco 7 seater standard bsiv,15.37,1196.0,73.0
100,2018,610000,35000,0,0,0,1,5.0,maruti,baleno zeta 1.2,21.4,1197.0,83.1
101,2014,625000,70000,1,0,1,2,8.0,mahindra,scorpio vlx at airbag bsiv,11.79,2179.0,120.0
102,2020,400000,5000,0,0,0,2,5.0,ford,freestyle titanium petrol bsiv,19.0,1194.0,94.68
103,2017,866000,37800,0,0,0,1,5.0,hyundai,verna vtvt 1.6 sx,17.0,1591.0,121.3
104,2010,700000,114000,0,0,0,1,5.0,volkswagen,passat 1.8 tsi mt,14.3,1798.0,160.0
105,2010,300000,48000,0,0,0,1,5.0,tata,indica vista aura 1.2 safire (abs) bs iv,15.8,1172.0,65.0
106,2019,1700000,32000,1,0,0,1,7.0,mahindra,xuv500 w11 option awd,15.1,2179.0,155.0
107,2016,375000,100000,1,0,0,1,5.0,tata,indigo cs ls (tdi) bs-iii,19.09,1405.0,69.01
108,2013,522000,150000,1,0,0,2,5.0,hyundai,verna 1.6 sx,22.32,1582.0,126.32
109,2013,451999,69000,1,0,0,1,5.0,hyundai,i20 magna 1.4 crdi (diesel),21.9,1396.0,88.76
110,2009,300000,100000,0,0,0,2,5.0,toyota,corolla altis g,14.53,1798.0,138.1
111,2020,475000,13000,0,0,0,1,5.0,maruti,celerio vxi,21.63,998.0,67.04
112,2016,780000,60000,1,0,0,1,5.0,maruti,vitara brezza zdi plus dual tone,24.3,1248.0,88.5
113,2017,595000,40000,0,0,0,1,5.0,maruti,swift dzire vxi,20.85,1197.0,83.14
114,2017,440000,35000,0,0,0,1,5.0,maruti,wagon r vxi bs iv,20.51,998.0,67.04
115,2014,400000,70000,1,0,0,3,5.0,nissan,terrano xl 85 ps,20.45,1461.0,83.8
116,2016,1140000,50000,1,0,0,1,5.0,hyundai,creta 1.6 crdi sx,19.67,1582.0,126.2
117,2017,850000,76139,1,0,0,1,5.0,ford,ecosport 1.5 diesel titanium plus bsiv,23.0,1498.0,98.96
118,2012,370000,175000,1,0,0,4,5.0,maruti,swift dzire vdi,19.3,1248.0,73.9
119,2018,350000,25000,0,0,0,1,5.0,renault,kwid 1.0,23.01,999.0,67.0
120,2015,360000,40000,0,0,0,2,5.0,maruti,celerio vxi,23.1,998.0,67.04
121,2008,105000,65000,0,0,0,4,5.0,maruti,alto lxi,19.7,796.0,46.3
122,2013,625000,90000,1,0,0,2,7.0,maruti,ertiga vdi,20.77,1248.0,88.76
123,2009,135000,80000,0,0,0,2,5.0,hyundai,santro xing gls,17.92,1086.0,62.1
124,2015,700000,110000,1,0,0,2,7.0,maruti,ertiga vdi,20.77,1248.0,88.76
125,2019,690000,1303,0,1,0,1,5.0,honda,amaze s i-vtec,17.8,1198.0,86.7
126,2018,3975000,31800,1,1,1,1,5.0,audi,q5 35tdi premium plus,17.01,1968.0,188.0
127,2019,5150000,20000,0,1,1,1,5.0,lexus,es 300h,22.37,2487.0,214.56
128,2017,3200000,45000,1,1,1,1,5.0,jaguar,xf 2.0 diesel portfolio,19.33,1999.0,177.0
129,2017,4100000,17000,0,0,1,1,5.0,jeep,wrangler 2016-2019 3.6 4x4,9.5,3604.0,280.0
130,2019,4500000,21000,1,1,1,1,7.0,land,rover discovery sport td4 se,12.83,1999.0,148.31
131,2017,6000000,37000,1,1,1,1,5.0,mercedes-benz,s-class s 350 cdi,13.5,2987.0,254.79
132,2018,3790000,29500,1,1,1,1,5.0,bmw,5 series 520d sport line,22.48,1995.0,187.74
133,2019,5800000,7500,1,1,1,1,5.0,bmw,x4 m sport x xdrive20d,16.78,1995.0,190.0
134,2018,1864999,50000,0,1,1,1,5.0,skoda,superb lk 1.8 tsi at,14.67,1798.0,177.46
135,2016,2700000,35000,1,1,1,1,5.0,mercedes-benz,e-class e250 edition e,15.0,2143.0,204.0
136,2019,1750000,19000,0,1,1,1,5.0,mg,hector sharp at bsiv,13.96,1451.0,141.0
137,2017,795000,41000,0,1,1,1,5.0,honda,city i-vtec cvt vx,18.0,1497.0,117.6
138,2013,625000,39000,0,1,1,1,5.0,toyota,corolla altis 1.8 g cvt,14.28,1798.0,138.03
139,2018,3400000,22000,1,1,1,1,5.0,volvo,xc40 d4 r-design,18.0,1969.0,190.0
140,2015,2650000,53000,1,1,1,1,7.0,audi,q7 35 tdi quattro premium,12.07,2967.0,241.4
141,2015,535000,40000,1,1,0,1,5.0,maruti,ciaz zdi,26.21,1248.0,88.5
142,2017,5850000,47000,1,1,1,1,5.0,mercedes-benz,s-class s 350 cdi,13.5,2987.0,282.0
143,2010,975000,72200,0,1,1,2,5.0,bmw,5 series 523i,10.8,2497.0,150.0
144,2016,805000,49900,0,1,0,1,5.0,hyundai,elantra s,16.3,1797.0,147.5
145,2017,2625000,9000,1,1,1,1,5.0,jaguar,xe 2016-2019 2.0l diesel prestige,13.6,1999.0,177.0
146,2018,811000,11000,0,1,0,1,5.0,tata,nexon 1.2 revotron xz plus dual tone,17.0,1198.0,108.5
147,2011,375000,49000,0,0,0,1,5.0,volkswagen,vento petrol highline,15.04,1598.0,103.6
148,2012,550000,95000,0,0,0,1,5.0,hyundai,elantra sx,16.3,1797.0,147.5
149,2016,645000,11000,0,1,1,1,5.0,skoda,rapid 1.6 mpi at elegance,14.3,1598.0,103.5
150,2018,2550000,18000,0,1,1,1,5.0,mercedes-benz,cla 200 cgi sport,15.04,1991.0,183.0
151,2014,599000,46100,0,1,0,1,7.0,maruti,ertiga zxi,16.02,1373.0,93.7
152,2017,2700000,16000,0,1,1,1,5.0,mercedes-benz,new c-class c 200 avantgarde,14.74,1991.0,181.04
153,2017,875000,18000,0,1,1,1,5.0,honda,city v at,15.6,1497.0,116.3
154,2019,894999,9654,0,1,1,1,5.0,toyota,glanza v cvt,19.56,1197.0,81.8
155,2011,175000,11000,0,1,0,1,5.0,maruti,alto k10 vxi,23.95,998.0,67.05
156,2012,340000,24300,0,1,0,1,5.0,maruti,swift vxi,21.21,1197.0,81.8
157,2016,1525000,42163,1,1,1,2,7.0,toyota,innova crysta 2.8 zx at bsiv,11.36,2755.0,171.5
158,2018,1025000,8000,1,1,1,1,5.0,tata,nexon 1.5 revotorq xza plus dualtone,21.5,1497.0,108.5
159,2016,2150000,30000,1,1,1,1,5.0,bmw,3 series 320d luxury line,22.69,1995.0,190.0
160,2016,1900000,41000,0,1,1,1,5.0,toyota,camry 2.5 hybrid,19.16,2494.0,157.7
161,2016,2900000,12000,1,1,1,1,5.0,bmw,5 series 520d luxury line,18.12,1995.0,190.0
162,2009,450000,71000,0,1,1,1,5.0,toyota,camry w4 (at),12.1,2362.0,164.7
163,2016,850000,20000,0,0,0,1,7.0,maruti,ertiga bsiv zxi plus,17.5,1373.0,91.1
164,2017,10000000,30000,0,0,1,1,4.0,volvo,xc90 t8 excellence bsiv,42.0,1969.0,400.0
165,2011,300000,100000,1,0,0,2,5.0,volkswagen,vento diesel highline,20.54,1598.0,103.6
166,2018,575000,9500,0,0,0,1,5.0,ford,figo aspire 1.2 ti-vct trend,18.16,1196.0,86.8
167,2011,160000,120000,1,0,0,1,5.0,ford,figo diesel lxi,20.0,1399.0,68.0
168,2015,515000,36600,0,0,0,1,5.0,maruti,swift vxi optional,20.4,1197.0,81.8
169,2015,390000,50000,0,0,1,2,5.0,maruti,wagon r amt vxi,20.51,998.0,67.0
170,2016,550000,14000,0,0,0,2,5.0,hyundai,i20 magna 1.2,18.6,1197.0,81.83
171,1999,40000,40000,0,0,0,2,4.0,maruti,800 std,16.1,796.0,37.0
172,2010,220000,120000,1,0,0,1,5.0,maruti,ritz vdi,21.1,1248.0,73.9
173,2015,425000,70000,0,0,0,1,5.0,hyundai,grand i10 magna,18.9,1197.0,82.0
174,2019,480000,13000,0,0,0,1,5.0,volkswagen,ameo 1.0 mpi trendline,19.44,999.0,75.0
175,2014,400000,60000,0,0,0,2,5.0,hyundai,grand i10 sportz,18.9,1197.0,82.0
176,2014,487000,35000,0,0,0,1,5.0,maruti,swift dzire vxi,19.1,1197.0,85.8
177,2016,386000,44000,0,0,0,2,5.0,hyundai,xcent 1.2 kappa s,19.1,1197.0,82.0
178,2005,100000,120000,0,0,0,2,5.0,honda,city 1.5 exi,13.0,1493.0,100.0
179,2010,300000,60000,1,0,0,1,5.0,toyota,corolla altis diesel d4dg,21.43,1364.0,87.2
180,2000,100000,60000,0,0,0,1,5.0,daewoo,matiz sd,18.5,796.0,53.0
181,2014,1750000,30000,1,0,0,2,7.0,toyota,fortuner 4x2 manual,13.0,2982.0,168.5
182,2016,450000,15000,0,0,0,2,6.0,mahindra,kuv 100 mfalcon g80 k8,18.15,1198.0,82.0
183,2017,490000,90000,1,0,0,1,5.0,tata,zest quadrajet 1.3 75ps xm,22.95,1248.0,74.0
184,2009,345000,47000,0,0,0,2,5.0,honda,city 1.5 s mt,17.0,1497.0,118.0
185,2005,85000,90000,0,0,0,1,5.0,maruti,zen lxi,17.3,993.0,60.0
186,2010,215000,120600,0,0,0,2,5.0,maruti,wagon r vxi bs iv with abs,18.9,998.0,67.1
187,2010,320000,100000,0,0,0,3,5.0,hyundai,verna transform sx vtvt,16.2,1599.0,103.2
188,2016,459999,60000,0,0,0,2,5.0,maruti,swift dzire vxi,20.85,1197.0,83.14
189,2005,65000,86000,0,0,0,1,5.0,hyundai,getz gls,15.3,1341.0,83.0
190,2020,720000,5000,0,0,0,1,5.0,hyundai,elite i20 sportz plus bsiv,18.6,1197.0,81.86
191,2017,800000,37000,1,0,0,1,5.0,maruti,ciaz 1.3 alpha,28.09,1248.0,88.5
192,2019,520000,14000,0,0,0,1,5.0,tata,tigor 1.2 revotron xz,20.3,1199.0,84.0
193,2015,580000,70000,1,0,0,1,7.0,maruti,ertiga vdi,20.77,1248.0,88.76
194,2015,600000,50000,0,0,0,1,5.0,honda,city i vtec s,17.4,1497.0,117.3
195,2014,290000,60000,0,0,0,2,5.0,honda,brio s mt,19.4,1198.0,86.8
196,2016,360000,50000,2,0,0,1,5.0,maruti,wagon r lxi cng,26.6,998.0,58.16
197,2017,550000,50000,0,0,0,1,5.0,maruti,swift dzire vxi,20.85,1197.0,83.14
198,2013,375000,70000,0,0,0,1,5.0,hyundai,i20 sportz 1.2,18.5,1197.0,82.85
199,2018,420000,35000,0,0,1,1,5.0,maruti,wagon r amt vxi,20.51,998.0,67.0
200,2017,550000,20000,0,0,0,1,5.0,maruti,swift dzire vxi 1.2,21.21,1197.0,81.8
201,2018,270000,20000,0,0,0,1,5.0,maruti,alto 800 lxi,24.7,796.0,47.3
202,2018,700000,7800,0,0,1,1,5.0,maruti,swift dzire amt vxi bs iv,22.0,1197.0,81.8
203,2017,500000,20000,0,0,0,1,5.0,maruti,swift vxi optional,20.4,1197.0,81.8
204,2019,1250000,15000,1,0,0,1,7.0,tata,hexa xe,17.6,2179.0,147.94
205,2013,320000,31377,0,0,0,2,5.0,hyundai,i20 magna,18.5,1197.0,82.85
206,2018,700000,50000,1,0,0,1,5.0,maruti,swift dzire vdi,28.4,1248.0,74.02
207,2015,290000,60000,0,0,0,1,5.0,maruti,wagon r vxi bs iv,20.51,998.0,67.04
208,2012,550000,100000,0,0,1,1,5.0,toyota,corolla altis 1.8 vl at,14.53,1794.0,138.1
209,2012,265000,60000,0,0,0,1,5.0,honda,brio s mt,19.4,1198.0,86.8
210,2018,830000,5000,0,0,1,1,5.0,maruti,baleno alpha automatic,21.4,1197.0,83.1
211,2017,800000,60000,1,0,0,1,7.0,tata,safari storme ex,14.1,2179.0,147.94
212,2011,160000,25000,0,0,0,2,5.0,maruti,alto lxi,19.7,796.0,46.3
213,2018,335000,30000,0,0,0,1,5.0,renault,kwid rxt,25.17,799.0,53.3
214,2017,329000,80000,0,0,0,2,5.0,datsun,go t bsiv,20.63,1198.0,67.0
215,2017,775000,75000,1,0,0,1,5.0,maruti,vitara brezza vdi option,24.3,1248.0,88.5
216,2020,524000,32000,0,0,0,1,5.0,hyundai,xcent 1.2 vtvt sx,20.14,1197.0,81.86
217,2015,245000,40000,0,0,0,1,5.0,maruti,alto 800 lxi,22.74,796.0,47.3
218,2012,275000,93000,0,0,0,2,5.0,hyundai,i20 1.2 sportz,17.0,1197.0,80.0
219,2018,520000,60000,0,0,0,1,5.0,tata,zest revotron 1.2 xt,17.57,1193.0,88.7
220,2014,550000,37000,0,0,0,1,5.0,nissan,sunny xl,16.95,1498.0,97.7
221,2018,910000,15000,0,0,0,1,5.0,ford,ecosport 1.5 petrol titanium plus bsiv,17.0,1497.0,121.36
222,2015,300000,80000,0,0,0,1,5.0,nissan,micra active xv s,19.49,1198.0,67.04
223,2016,350000,140000,0,0,0,1,5.0,maruti,wagon r lxi optional,20.51,998.0,67.04
224,2013,900000,70000,1,0,0,1,7.0,mahindra,ssangyong rexton rx5,12.83,2696.0,162.0
225,2013,300000,120000,1,0,0,2,7.0,mahindra,quanto c8,17.21,1493.0,100.0
226,2010,250000,110000,1,0,0,2,5.0,maruti,ritz ldi,21.1,1248.0,73.9
227,2017,1100000,37000,1,0,0,1,5.0,hyundai,creta 1.6 crdi sx plus dual tone,19.67,1582.0,126.2
228,2016,270000,44000,0,0,0,1,5.0,renault,kwid rxt,25.17,799.0,53.3
229,2015,640000,80000,1,0,0,1,7.0,maruti,ertiga vdi,20.77,1248.0,88.76
230,2015,650000,125000,1,0,0,1,7.0,mahindra,xuv500 w4,15.1,2179.0,140.0
231,2017,409999,13500,0,0,0,1,5.0,maruti,eeco 5 seater ac bsiv,15.37,1196.0,73.0
232,2011,165000,75000,0,0,0,1,5.0,hyundai,santro xing gls,17.92,1086.0,62.1
233,2007,80000,120000,0,0,0,2,5.0,hyundai,accent gle,13.2,1495.0,94.0
234,2012,535000,120000,1,0,0,1,7.0,mahindra,xuv500 w8 2wd,15.1,2179.0,140.0
235,2013,700000,70000,1,0,0,1,7.0,toyota,innova 2.5 ev (diesel) ps 7 seater bs iv,12.99,2494.0,100.57
236,2013,550000,70000,1,0,0,1,5.0,maruti,swift dzire vdi,23.4,1248.0,74.0
237,2019,680000,15000,0,0,1,1,5.0,honda,amaze s cvt petrol bsiv,19.0,1199.0,88.76
238,2009,200000,53000,0,0,0,2,5.0,hyundai,i10 sportz 1.2,20.36,1197.0,78.9
239,2014,500000,120000,1,0,0,2,5.0,maruti,swift dzire vdi,23.4,1248.0,74.0
240,2016,1000000,70000,1,0,0,1,7.0,maruti,ertiga shvs zdi plus,24.52,1248.0,88.5
241,2008,110000,120000,0,0,0,2,5.0,hyundai,getz 1.3 gvs,14.2,1341.0,82.9
242,2012,320000,100000,0,0,0,2,5.0,hyundai,i20 1.2 magna,18.5,1197.0,80.0
243,2015,350000,100000,0,0,0,1,5.0,maruti,swift lxi optional-o,20.4,1197.0,83.11
244,2013,170000,162500,1,0,0,1,5.0,tata,indica vista tdi ls,19.4,1405.0,70.0
245,2017,800000,39000,1,0,0,1,5.0,hyundai,i20 2015-2017 asta 1.4 crdi,22.54,1396.0,88.73
246,2017,500000,75000,1,0,0,1,5.0,maruti,ignis 1.3 alpha,26.8,1248.0,74.0
247,2017,1380000,50000,1,0,1,1,7.0,tata,hexa xta,17.6,2179.0,153.86
248,2019,1300000,40000,1,0,0,1,8.0,mahindra,marazzo m6 8str,17.3,1497.0,121.0
249,2013,530000,92500,1,0,0,1,5.0,hyundai,verna 1.6 crdi,22.32,1582.0,126.3
250,2012,360000,158000,1,0,0,1,5.0,maruti,swift dzire vdi,23.4,1248.0,74.0
251,2012,310000,120000,1,0,0,1,5.0,maruti,swift dzire ldi,19.3,1248.0,73.9
252,2015,725000,50000,1,0,0,2,5.0,honda,city i dtec v,26.0,1498.0,98.6
253,2012,340000,110000,1,0,0,1,5.0,maruti,swift dzire zdi,19.3,1248.0,73.9
254,2017,550000,2000,1,0,0,2,5.0,hyundai,xcent 1.2 crdi e,25.4,1186.0,73.97
255,2011,1150000,181000,1,0,0,2,7.0,toyota,fortuner 3.0 diesel,11.5,2982.0,171.0
256,2016,380000,70000,1,0,0,1,5.0,tata,tiago 1.05 revotorq xz,27.28,1047.0,69.0
257,2013,350000,90000,0,0,1,2,5.0,nissan,sunny xl at special edition,17.97,1498.0,99.6
258,2019,610000,2000,0,0,0,1,5.0,hyundai,elite i20 magna plus bsiv,18.6,1197.0,81.86
259,2015,525000,20000,0,0,0,1,5.0,maruti,swift dzire vxi,20.85,1197.0,83.14
260,2011,480000,120000,1,0,0,1,7.0,toyota,innova 2.5 gx 7 str,12.8,2494.0,102.0
261,2017,780000,35000,1,0,0,1,6.0,mahindra,thar crde,16.55,2498.0,105.0
262,2012,320000,193000,1,0,0,1,5.0,maruti,swift dzire zdi,19.3,1248.0,73.9
263,2014,375000,80000,0,0,0,1,5.0,maruti,swift 1.2 dlx (only delhi),20.4,1197.0,81.8
264,2019,300000,40000,0,0,0,1,5.0,datsun,go d petrol,19.02,1198.0,67.05
265,2015,500000,70000,1,0,0,4,5.0,hyundai,i20 asta 1.4 crdi,22.54,1396.0,88.73
266,2011,404000,122358,1,0,0,1,9.0,mahindra,scorpio lx,12.05,2179.0,120.0
267,2015,500000,75000,1,0,0,1,7.0,tata,sumo gold ex bsiii,14.07,2956.0,69.01
268,2017,350000,120000,1,0,0,1,5.0,tata,tiago wizz 1.05 revotorq,27.28,1047.0,69.0
